Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage entre les classes,Couverture des tests,Dette technique,Nombre de défauts,Lisibilité du code,Nombre de lignes vides,Nombre de lignes de code en majuscules,Nombre d'occurrences de 'TODO',Méthode Longue,Spaghetti Code,Message Chains,Couplage Élevé,Large Class
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\StatefulAsyncTask.kt,30,0.0,0,0,0,0,0,0,3,15,0,1,0,31,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\Task.kt,52,0.0,0,0,0,0,0,0,7,23,0,1,0,53,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\AbstractCommonsArchiveHelperCallable.kt,90,0.0,0,0,0,0,0,0,6,19,0,1,0,91,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\AbstractCompressedTarArchiveHelperCallable.kt,55,0.0,0,0,0,0,0,0,7,13,0,1,0,56,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\CompressedHelperCallable.kt,45,0.0,0,0,0,0,0,0,7,13,0,1,0,46,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\SevenZipHelperCallable.kt,129,0.0,0,0,0,0,0,0,9,20,0,1,0,130,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\TarBzip2HelperCallable.kt,31,0.0,0,0,0,0,0,0,4,13,0,1,0,32,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\TarGzHelperCallable.kt,31,0.0,0,0,0,0,0,0,4,13,0,1,0,32,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\TarHelperCallable.kt,32,0.0,0,0,0,0,0,0,4,13,0,1,0,33,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\TarLzmaHelperCallable.kt,31,0.0,0,0,0,0,0,0,4,13,0,1,0,32,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\TarXzHelperCallable.kt,31,0.0,0,0,0,0,0,0,4,13,0,1,0,32,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\UnknownCompressedFileHelperCallable.kt,65,0.0,0,0,0,0,0,0,4,13,0,1,0,66,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\compress\ZipHelperCallable.kt,152,0.0,0,0,0,0,0,0,6,15,0,1,0,153,0,1
